,id,title,year,journal.id,journal.title
0,pub.1101002854,STATE OF THE CLIMATE IN 2004,2005,jour.1053654,Bulletin of the American Meteorological Society
0,pub.1100998798,STATE OF THE CLIMATE IN 2003,2004,jour.1053654,Bulletin of the American Meteorological Society
0,pub.1046238872,Export of NOy from the North American boundary layer: Reconciling aircraft observations and global model budgets,2004,jour.1312079,Journal of Geophysical Research
0,pub.1005937059,North American pollution outflow and the trapping of convectively lifted pollution by upper‐level anticyclone,2005,jour.1312079,Journal of Geophysical Research
0,pub.1009866191,"Seasonal budgets of reactive nitrogen species and ozone over the United States, and export fluxes to the global atmosphere",1998,jour.1312079,Journal of Geophysical Research
0,pub.1050531008,"Use of Personal Passive Samplers for Measurement of NO2, NO, and O3 Levels in Panel Studies",1999,jour.1009554,Environmental Research
0,pub.1048201203,Increasing background ozone in surface air over the United States,2000,jour.1126650,Geophysical Research Letters
0,pub.1083066677,Short-term air pollution exposures and responses in Los Angeles area schoolchildren.,1996,jour.1036306,Journal of Exposure Science & Environmental Epidemiology
0,pub.1044395164,Assessment of Ozone Exposures in the Greater Metropolitan Toronto Area,1995,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1064746634,Ozone exposure assessment in a southern California community.,1997,jour.1031925,Environmental Health Perspectives
0,pub.1052062592,Sources of tropospheric ozone along the Asian Pacific Rim: An analysis of ozonesonde observations,2002,jour.1312079,Journal of Geophysical Research
0,pub.1010022416,Interpretation of TOMS observations of tropical tropospheric ozone with a global model and in situ observations,2002,jour.1312079,Journal of Geophysical Research
0,pub.1024687277,Conceptual basis for multi-route intake dose modeling using an energy expenditure approach,2000,jour.1036306,Journal of Exposure Science & Environmental Epidemiology
0,pub.1033427542,The National Exposure Research Laboratory's Consolidated Human Activity Database,2000,jour.1036306,Journal of Exposure Science & Environmental Epidemiology
0,pub.1055490896,The Rate of Ozone Uptake on Carpets: Experimental Studies,2000,jour.1012116,Environmental Science and Technology
0,pub.1055493579,Ozone Interactions with Carpet: Secondary Emissions of Aldehydes,2002,jour.1012116,Environmental Science and Technology
0,pub.1047120075,Residential Air Exchange Rates in the United States: Empirical and Estimated Parametric Distributions by Season and Climatic Region,1995,jour.1092707,Risk Analysis
0,pub.1074513503,Statistical methods for epidemiologic studies of the health effects of air pollution.,1999,jour.1358288,Research report
0,pub.1055491377,Mathematical modeling of chemically reactive pollutants in indoor air.,1986,jour.1012116,Environmental Science and Technology
0,pub.1019387966,Cleaning products and air fresheners: exposure to primary and secondary air pollutants,2004,jour.1132096,Atmospheric Environment
0,pub.1015586725,"Air pollution, health, and socio-economic status: the effect of outdoor air quality on childhood asthma",2004,jour.1094887,Journal of Health Economics
0,pub.1010078919,Ozone emission rate testing and ranking method using environmental chamber,2001,jour.1132096,Atmospheric Environment
0,pub.1013344608,Trends of ozone in the troposphere,1998,jour.1126650,Geophysical Research Letters
0,pub.1051930722,Ozone Exposure among Mexico City Outdoor Workers,2003,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1052481515,Production of OH radicals from the reactions of C4–C6 internal alkenes and styrenes with ozone in the gas phase,2002,jour.1132096,Atmospheric Environment
0,pub.1029345932,Concepts of human exposure to air pollution,1982,jour.1088587,Environment International
0,pub.1083213297,Measurement of air exchange rate of stationary vehicles and estimation of in-vehicle exposure.,1998,jour.1036306,Journal of Exposure Science & Environmental Epidemiology
0,pub.1000612696,Spatial Variability of PM2.5 in Urban Areas in the United States,2004,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1006592974,Statistical analysis of parameters influencing the relationship between outdoor and indoor air quality in schools,2005,jour.1132096,Atmospheric Environment
0,pub.1053876592,Measurements of Peroxides and What They Tell Us,2003,jour.1077147,Chemical Reviews
0,pub.1055484329,Ozone reactive chemistry on interior latex paint.,1995,jour.1012116,Environmental Science and Technology
0,pub.1055495178,"Exposure to Particulate Matter, Volatile Organic Compounds, and Other Air Pollutants Inside Patrol Cars",2003,jour.1012116,Environmental Science and Technology
0,pub.1021607075,"Measurements of PAN, PPN, and MPAN made during the 1994 and 1995 Nashville Intensives of the Southern Oxidant Study: Implications for regional ozone production from biogenic hydrocarbons",1998,jour.1312079,Journal of Geophysical Research
0,pub.1046722579,Ground‐based measurements of peroxycarboxylic nitric anhydrides (PANs) during the 1999 Southern Oxidants Study Nashville Intensive,2002,jour.1312079,Journal of Geophysical Research
0,pub.1002272538,An examination of the chemistry of peroxycarboxylic nitric anhydrides and related volatile organic compounds during Texas Air Quality Study 2000 using ground‐based measurements,2003,jour.1312079,Journal of Geophysical Research
0,pub.1008663938,Measurement of peroxycarboxylic nitric anhydrides (PANs) during the ITCT 2K2 aircraft intensive experiment,2004,jour.1312079,Journal of Geophysical Research
0,pub.1023281182,A model study of ozone in the eastern Mediterranean free troposphere during MINOS (August 2001),2003,jour.1033685,Atmospheric Chemistry and Physics
0,pub.1058425339,Repeated exposure to isoprene oxidation products causes enhanced respiratory tract effects in multiple murine strains.,2003,jour.1099488,Inhalation Toxicology
0,pub.1008015176,Evaluation of Indoor Ozone Concentration and Predictors of Indoor-Outdoor Ratio in Mexico City,1998,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1038066062,"Ozone exposure inside museums in the historic central district of Krakow, Poland",2000,jour.1132096,Atmospheric Environment
0,pub.1039396131,"Assessing the Relationship between Personal Particulate and Gaseous Exposures of Senior Citizens Living in Baltimore, MD",2000,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1019040582,Hydroxyl radicals in indoor environments,2002,jour.1132096,Atmospheric Environment
0,pub.1016101303,Modeling-gas phase reactions in indoor environments using computational fluid dynamics,2002,jour.1132096,Atmospheric Environment
0,pub.1047159992,The uptake of gaseous organic nitrogen by leaves: A significant global nitrogen transfer process,2003,jour.1126650,Geophysical Research Letters
0,pub.1076348773,Activity patterns in elementary and high school students exposed to oxidant pollution.,1992,jour.1036306,Journal of Exposure Science & Environmental Epidemiology
0,pub.1014906576,Gaseous fluxes of peroxyacetyl nitrate (PAN) into plant leaves,2004,jour.1104001,Plant Cell & Environment
0,pub.1025768041,Comparison of Exposure Assessment Guidelines for Pesticides,1992,,
0,pub.1010488926,Street level versus rooftop concentrations of submicron aerosol particles and gaseous pollutants in an urban street canyon,1999,jour.1132096,Atmospheric Environment
0,pub.1064736969,Ozone and limonene in indoor air: a source of submicron particle exposure.,2000,jour.1031925,Environmental Health Perspectives
0,pub.1031798861,"Measurements of peroxides and related species during the 1995 summer intensive of the Southern Oxidants Study in Nashville, Tennessee",1998,jour.1312079,Journal of Geophysical Research
0,pub.1033724581,Ozone in Indoor Environments: Concentration and Chemistry,2000,jour.1106184,Indoor Air
0,pub.1049053743,Chemical reactions among indoor pollutants: what we've learned in the new millennium,2004,jour.1106184,Indoor Air
0,pub.1023674024,Indoor ozone/terpene reactions as a source of indoor particles,1999,jour.1132096,Atmospheric Environment
0,pub.1040417538,Experiments probing the influence of air exchange rates on secondary organic aerosols derived from indoor chemistry,2003,jour.1132096,Atmospheric Environment
0,pub.1051595034,Indoor Ozone Exposures,1989,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1055486992,"Indoor Chemistry Involving O3, NO, and NO2 as Evidenced by 14 Months of Measurements at a Site in Southern California.",1994,jour.1012116,Environmental Science and Technology
0,pub.1031960018,Parameter Evaluation and Model Validation of Ozone Exposure Assessment Using Harvard Southern California Chronic Ozone Exposure Study Data,2005,jour.1056253,Journal of the Air & Waste Management Association
0,pub.1012539607,"Forecast, observation and modelling of a deep stratospheric intrusion event over Europe",2003,jour.1033685,Atmospheric Chemistry and Physics
0,pub.1030264204,Using a probabilistic model (pCNEM) to estimate personal exposure to air pollution,2005,jour.1024804,Environmetrics
0,pub.1031177251,Ozone stimulates synthesis of inflammatory cytokines by alveolar macrophages in vitro.,1995,jour.1099877,American Journal of Respiratory Cell and Molecular Biology
0,pub.1052555220,Longitudinal Distribution of Ozone Absorption in the Lung: Effect of Continuous Inhalation Exposure,1996,jour.1012103,Archives of Environmental & Occupational Health
0,pub.1003417159,Longitudinal Distribution of Ozone and Chlorine in the Human Respiratory Tract: Simulation of Nasal and Oral Breathing with the Single-Path Diffusion Model,2001,jour.1019541,Toxicology and Applied Pharmacology
0,pub.1082668166,The relevance to humans of animal models for inhalation studies of cancer in the nose and upper airways.,1993,jour.1102948,Quality Assurance
0,pub.1010013335,Exposure of Humans to Ambient Levels of Ozone for 6.6 Hours Causes Cellular and Biochemical Changes in the Lung,1991,jour.1099877,American Journal of Respiratory Cell and Molecular Biology
0,pub.1013039871,INTERSPECIES DIFFERENCES IN TIME COURSE OF PULMONARY TOXICITY FOLLOWING REPEATED EXPOSURE TO OZONE,1999,jour.1099488,Inhalation Toxicology
0,pub.1035506416,Variation in Antioxidant Enzyme Activities in Anatomic Subcompartments within Rat and Rhesus Monkey Lung,1993,jour.1019541,Toxicology and Applied Pharmacology
0,pub.1000992193,Ozone-induced alterations in glutathione in lung subcompartments of rats and monkeys.,1996,jour.1099877,American Journal of Respiratory Cell and Molecular Biology
0,pub.1082862157,Bronchoscopic determination of ozone uptake in humans,1995,jour.1017950,Journal of Applied Physiology
0,pub.1037198906,Species comparison of acute inhalation toxicity of ozone and phosgene,1986,jour.1312169,Journal of Toxicology and Environmental Health
0,pub.1033715422,Ozone dose and effect in humans and rats. A comparison using oxygen-18 labeling and bronchoalveolar lavage.,1994,jour.1017031,American Journal of Respiratory and Critical Care Medicine
0,pub.1082603642,Longitudinal distribution of ozone absorption in the lung: effects of respiratory flow,1994,jour.1017950,Journal of Applied Physiology
0,pub.1019688563,Adaptation of Extrapulmonary Responses to Ozone Exposure in Conscious Rats,1998,jour.1077085,Industrial Health
0,pub.1001088434,Effect of Respiratory Pattern on Ozone Injury to the Airways of Isolated Rat Lungs,2000,jour.1019541,Toxicology and Applied Pharmacology
0,pub.1082555441,Longitudinal distribution of ozone absorption in the lung: comparison of nasal and oral quiet breathing,1994,jour.1017950,Journal of Applied Physiology
0,pub.1033425790,Dietary Restriction Mitigates Ozone-induced Lung Inflammation in Rats: A Role for Endogenous Antioxidants,1997,jour.1099877,American Journal of Respiratory Cell and Molecular Biology
0,pub.1083254289,Site-selective differences in cytochrome P450 isoform activities. Comparison of expression in rat and rhesus monkey lung and induction in rats.,1998,jour.1105655,Drug Metabolism and Disposition
0,pub.1028819204,Similarity between man and laboratory animals in regional pulmonary deposition of ozone,1978,jour.1009554,Environmental Research
0,pub.1022811042,Interspecies Dosimetry of Reactive Gases,1988,,
0,pub.1000855014,An Investigation of Inhaled Ozone Dose and the Magnitude of Airway Inflammation in Healthy Adults,2004,jour.1017031,American Journal of Respiratory and Critical Care Medicine
0,pub.1074563981,Longitudinal distribution of chlorine absorption in human airways: a comparison to ozone absorption,1999,jour.1017950,Journal of Applied Physiology
0,pub.1029248277,Simulation of the Uptake of a Reactive Gas in a Rat Respiratory Tract Model with an Asymmetric Tracheobronchial Region Patterned on Complete Conducting Airway Cast Data,1995,jour.1429555,Journal of Biomedical Informatics
0,pub.1042723451,Influence of Tracheobronchial Region Expansion and Volume on Reactive Gas Uptake and Interspecies Dose Extrapolations,1996,jour.1099488,Inhalation Toxicology
0,pub.1020926180,"Relationship of Inhaled Ozone Concentration to Acute Tracheobronchial  Epithelial Injury, Site-specific Ozone Dose, and Glutathione Depletion in Rhesus Monkeys",1998,jour.1099877,American Journal of Respiratory Cell and Molecular Biology
0,pub.1030297170,Three-Dimensional Mapping of Ozone-Induced Acute Cytotoxicity in  Tracheobronchial Airways of Isolated Perfused Rat Lung,2000,jour.1099877,American Journal of Respiratory Cell and Molecular Biology
0,pub.1000626226,"Longitudinal Distribution of Ozone Absorption in the Lung: Effects of Nitrogen Dioxide, Sulfur Dioxide, and Ozone Exposures",1997,jour.1012103,Archives of Environmental & Occupational Health
0,pub.1074650708,Ozone uptake in the intact human respiratory tract: relationship between inhaled dose and actual dose,2000,jour.1017950,Journal of Applied Physiology
0,pub.1058425328,Evaluation of the potential impact of age- and gender-specific lung morphology and ventilation rate on the dosimetry of vapors.,2003,jour.1099488,Inhalation Toxicology
0,pub.1074884379,"Effect of C-fiber-mediated, ozone-induced rapid shallow breathing on airway epithelial injury in rats",2001,jour.1017950,Journal of Applied Physiology
0,pub.1029711044,Ozone-induced Epithelial Injury in the Ferret Is Similar to Nonhuman Primates,2000,jour.1017031,American Journal of Respiratory and Critical Care Medicine
0,pub.1009842385,Allometric Relationships of Cell Numbers and Size in the Mammalian Lung,1992,jour.1099877,American Journal of Respiratory Cell and Molecular Biology
0,pub.1076999755,Uptake distribution of ozone in human lungs: intersubject variability in physiologic response.,2004,jour.1358288,Research report
0,pub.1037107179,Cardiac and thermoregulatory responses to inhaled pollutants in healthy and compromised rodents: modulation via interaction with environmental factors,2003,jour.1009554,Environmental Research
0,pub.1053068012,Long-Term Inhalable Particles and Other Air Pollutants  Related to Mortality in Nonsmokers,1999,jour.1017031,American Journal of Respiratory and Critical Care Medicine
0,pub.1031875715,Cell Injury and Interstitial Inflammation in Rat Lung after Inhalation of Ozone and Urban Particulates,1999,jour.1099877,American Journal of Respiratory Cell and Molecular Biology
0,pub.1026846701,Effect of Rapid Shallow Breathing on the Distribution of 18O-Labeled Ozone Reaction Product in the Respiratory Tract of the Rat,2004,jour.1099488,Inhalation Toxicology
0,pub.1016413735,The mechanism of exercise-induced asthma is …,2000,jour.1055081,Journal of Allergy and Clinical Immunology
0,pub.1012495030,Age-Related Changes in Ventilatory and Heart Rate Responses to Acute Ozone Exposure in the Conscious Rat,1997,jour.1077085,Industrial Health
0,pub.1033221189,Memory deterioration in an oxidative stress model and its correlation with cytological changes on rat hippocampus CA1,1999,jour.1084802,Neuroscience Letters
0,pub.1010128562,Antioxidant-mediated augmentation of ozone-induced membrane oxidation,2005,jour.1097289,Free Radical Biology and Medicine
0,pub.1020298563,INFLAMMATORY CELL AVAILABILITY AFFECTS OZONE-INDUCED LUNG DAMAGE,2001,jour.1023465,Journal of Toxicology and Environmental Health Part A
0,pub.1012716280,Effect of ozone on immunoglobulin production by human b cells in vitro,1991,jour.1312169,Journal of Toxicology and Environmental Health
0,pub.1139201897,Long-Term Concentrations of Ambient Air Pollutants and Incident Lung Cancer in California Adults: Results from the AHSMOG Study,1998,jour.1031925,Environmental Health Perspectives
0,pub.1058346697,Detection of poly(ADP-ribose) synthetase activity in alveolar macrophages of rats exposed to nitrogen dioxide and ozone.,2001,jour.1099488,Inhalation Toxicology
0,pub.1034526308,DNA Strand Breaks Caused by Exposure to Ozone and Nitrogen Dioxide,1999,jour.1009554,Environmental Research
0,pub.1002438874,"Alteration of alveolar macrophage chemotaxis, cell adhesion, and cell adhesion molecules following ozone exposure of rats",1996,jour.1005966,Journal of Cellular Physiology
0,pub.1041132247,"LUNG INJURY, INFLAMMATION, AND INFLAMMATORY STIMULI IN RATS EXPOSED TO OZONE",2000,jour.1023465,Journal of Toxicology and Environmental Health Part A
0,pub.1037249606,"ALTERATION OF EPITHELIAL INTEGRITY, ALKALINE PHOSPHATASE ACTIVITY, AND FIBRONECTIN EXPRESSION IN LUNGS OF RATS EXPOSED TO OZONE",1999,jour.1023465,Journal of Toxicology and Environmental Health Part A
0,pub.1024681351,Amelioration of Ozone-Induced Lung Injury by Anti-Tumor Necrosis Factor-α,2002,jour.1092859,Toxicological Sciences
0,pub.1053441527,Limited Effects of Ozone Exposure during Pregnancy on Physical and Neurobehavioral Development of CD-1 Mice,1994,jour.1019541,Toxicology and Applied Pharmacology
0,pub.1031782345,Age-related deficits as working memory load increases: relationships with growth factors,2003,jour.1091979,Neurobiology of Aging
0,pub.1010996552,Inhalation of ozone induces DNA strand breaks and inflammation in mice,2002,jour.1018186,Mutation Research/Fundamental and Molecular Mechanisms of Mutagenesis
0,pub.1040719705,Pulmonary Surfactant Proteins A and D Are Potent Endogenous Inhibitors of Lipid Peroxidation and Oxidative Cellular Injury*,2000,jour.1077138,Journal of Biological Chemistry
0,pub.1058425340,"Lung hyperpermeability, Clara-cell secretory potein (CC16), and susceptibility to ozone of five inbred strains of mice.",2003,jour.1099488,Inhalation Toxicology
0,pub.1077375713,Histopathologic changes of the nasal mucosa in southwest Metropolitan Mexico City inhabitants.,1992,jour.1017016,American Journal Of Pathology
0,pub.1139202040,Human nasal mucosal changes after exposure to urban pollution,1994,jour.1031925,Environmental Health Perspectives
